# Mid-bin energy (keV),Fluence (cm⁻² keV⁻¹)
1.1,236629349.5
1.3,235640932
1.5,250355875.3
1.7,276303554.6
1.9,140004704.2
2.1,117387562.3
2.3,112219416.9
2.5,108457153.9
2.7,107164992.1
2.9,107732491
3.1,111347865.5
3.3,117108963
3.5,124246543.7
3.7,132613238.4
3.9,142102752.7
4.1,152822778.8
4.3,164385650.5
4.5,176832429.5
4.7,190255014.7
4.9,204507507.5
5.1,219572754.8
5.3,235404304.5
5.5,251878076.5
5.7,269034896.1
5.9,286739391.4
6.1,305001258.4
6.3,323867185.1
6.5,343208308.8
6.7,362970633.9
6.9,383099457.6
7.1,403673043.4
7.3,1328919460
7.5,445815474.5
7.7,475603044.7
7.9,497052590
8.1,510107167.3
8.3,21919879866
8.5,553390823.7
8.7,848849914.1
8.9,596041895.2
9.1,617354699.2
9.3,648793737.1
9.5,1472202865
9.7,13668927364
9.9,7682781282
10.1,983153647.4
10.3,310497218.6
10.5,274763110.6
10.7,284283037.1
10.9,338459720.1
11.1,306072029.1
11.3,1643059366
11.5,422248722.9
11.7,354227371.3
11.9,245020503.7
12.1,264789355.2
12.3,215786322.5
12.5,221789112.1
12.7,227935487.7
12.9,234118171.7
13.1,240313985.2
13.3,246516251.5
13.5,252717235.6
13.7,258911736.1
13.9,265092312.5
14.1,271317178.8
14.3,277583762.1
14.5,283822958.7
14.7,290025320.3
14.9,296185282.9
15.1,302346236.2
15.3,308504961.5
15.5,314607037
15.7,320647420.9
15.9,326616119.6
16.1,332510364.7
16.3,338325309.1
16.5,344056409.5
16.7,349700000.2
16.9,355253701.6
17.1,360706590.9
17.3,366058413.1
17.5,371319564.1
17.7,376536896.9
17.9,381656081.6
18.1,386665474.8
18.3,391554004.7
18.5,396324465.5
18.7,400974523.2
18.9,405501783.5
19.1,409905987.1
19.3,414189908.1
19.5,418342516.3
19.7,422368259.6
19.9,426264359.5
20.1,430055762.3
20.3,433744747.2
20.5,437309927.2
20.7,440739338.4
20.9,444038304.6
21.1,447206417
21.3,450246894.6
21.5,453160653.5
21.7,455952666
21.9,458611888.8
22.1,461162401.9
22.3,463601777
22.5,465918355
22.7,468116346.4
22.9,470198550.8
23.1,472153110.8
23.3,473990833.8
23.5,475709441.2
23.7,477314734.7
23.9,478812838.7
24.1,480204263.6
24.3,481478979.7
24.5,482644959.7
24.7,483704529.6
24.9,484660018.3
25.1,485533764.3
25.3,486325099.1
25.5,487010278
25.7,487597843.5
25.9,488089915.3
26.1,488492456.1
26.3,488809399
26.5,489040937
26.7,489181328.9
26.9,489236384.3
27.1,489209159.9
27.3,489102921.8
27.5,488927290.8
27.7,488679298.7
27.9,488351510.7
28.1,487948754.7
28.3,487479265.5
28.5,486943319.1
28.7,486350210
28.9,485696103.7
29.1,484974298.5
29.3,484190675.4
29.5,483350842.5
29.7,482457586
29.9,481519391.9
30.1,480535141.6
30.3,479497411.1
30.5,478409166.6
30.7,477274418.7
30.9,476094758.9
31.1,474878839.1
31.3,473621365.9
31.5,472315989.7
31.7,470968564.1
31.9,469585632.6
32.1,468166932.5
32.3,466721022.3
32.5,465241888.1
32.7,463722811.6
32.9,462173482.8
33.1,460595049
33.3,458989993.9
33.5,457364533.3
33.7,455714798.3
33.9,454033753.2
34.1,452329141.8
34.3,450602764.8
34.5,448856461.3
34.7,447099644.8
34.9,445323426.3
35.1,443522398.2
35.3,441705521.1
35.5,439873555.8
35.7,438027546.6
35.9,436176926.4
36.1,434310747.6
36.3,432425141.5
36.5,430526973.9
36.7,428617231.6
36.9,426700016.2
37.1,424780774.9
37.3,422848948
37.5,420901970.8
37.7,418947584.1
37.9,416987142.5
38.1,415023018.4
38.3,413058883.6
38.5,411086888.8
38.7,409104271.2
38.9,407118538.4
39.1,405131445.5
39.3,403143058.5
39.5,401158050.3
39.7,399168213.6
39.9,397171973.1
40.1,395175862
40.3,393178541.5
40.5,391184722.7
40.7,389197608.1
40.9,387206097.6
41.1,385211020.7
41.3,383218619.8
41.5,381229362.2
41.7,379243307
41.9,377266892.6
42.1,375286668.1
42.3,373306545.4
42.5,371330480.6
42.7,369357364.4
42.9,367388400.7
43.1,365430426.8
43.3,363471044.5
43.5,361512437.6
43.7,359557687.6
43.9,357609330.9
44.1,355665200
44.3,353733317.5
44.5,351802344.7
44.7,349872786.3
44.9,347949585.6
45.1,346032383.3
45.3,344119905.2
45.5,342221151.4
45.7,340325083.5
45.9,338430309.3
46.1,336543470.8
46.3,334665229.3
46.5,332791634.8
46.7,330931882.1
46.9,329075470.4
47.1,327223232.1
47.3,325379271.9
47.5,323542133.1
47.7,321712048.9
47.9,319895988.4
48.1,318084943.8
48.3,316277528.3
48.5,314477870.3
48.7,312686616
48.9,310900104.5
49.1,309128647.8
49.3,307362720.8
49.5,305599422.5
49.7,303844964.5
49.9,302099834.6
50.1,300357452.5
50.3,298631010
50.5,296910157.4
50.7,295192974.3
50.9,293485142.1
51.1,291786306.6
51.3,290090342.7
51.5,288412985
51.7,286740622.4
51.9,285072136
52.1,283413081.3
52.3,281763118.3
52.5,280115473.4
52.7,278486165.7
52.9,276861272.5
53.1,275242330
53.3,273632605.3
53.5,272031068.4
53.7,270430926.2
53.9,268850405.2
54.1,267275240.1
54.3,265705674.6
54.5,264144247.6
54.7,262590419.4
54.9,261038137.7
55.1,259506275.3
55.3,257978734.1
55.5,256455923.6
55.7,254942478.9
55.9,253435455.2
56.1,251929791.1
56.3,250445421.4
56.5,248965100
56.7,247489133.5
56.9,246021918.8
57.1,244559751.8
57.3,243100781.9
57.5,241661393.7
57.7,240225596.4
57.9,2357995667
58.1,237373441.8
58.3,235955508.2
58.5,234542112.8
58.7,233148839.8
58.9,231759062.8
59.1,230374339.8
59.3,3978393862
59.5,227623789.3
59.7,226256088.2
59.9,224907384.6
60.1,223563633
60.3,222226894.6
60.5,220897697.9
60.7,219570671.7
60.9,218249626
61.1,216946033.1
61.3,215645303.7
61.5,214349869.4
61.7,213061904.6
61.9,211774603.5
62.1,210494476.7
62.3,209232043.2
62.5,207972561
62.7,206717611
62.9,205469118.1
63.1,204221869.9
63.3,202982381.1
63.5,201759519.8
63.7,200539139.8
63.9,199323159.9
64.1,198112998.2
64.3,196904929.1
64.5,195704987
64.7,194519565.6
64.9,193337868.9
65.1,192160664.5
65.3,190987410.2
65.5,189816900.1
65.7,188655367.4
65.9,187507746.3
66.1,186362847
66.3,185221952.7
66.5,184085367.4
66.7,182951411.3
66.9,624528541.9
67.1,180712760.3
67.3,1037840203
67.5,178497024.2
67.7,199206362.2
67.9,176293600.9
68.1,175201758.2
68.3,174122193.1
68.5,173045228.9
68.7,171971909.9
68.9,170901390.1
69.1,169833804.3
69.3,472098735
69.5,162771571.7
69.7,183796088
69.9,141205597.3
70.1,140495895.1
70.3,139771518.7
70.5,139051295
70.7,138336976.1
70.9,137621695.3
71.1,136905725
71.3,136194640.3
71.5,135486584.4
71.7,134782488.1
71.9,134083673.2
72.1,133384281.6
72.3,132683923.5
72.5,131986840.4
72.7,131291408
72.9,130599754.9
73.1,129913103.6
73.3,129225747.8
73.5,128536901.3
73.7,127848681.2
73.9,127160198
74.1,126476098.2
74.3,125796694.4
74.5,125116563.8
74.7,124434597.7
74.9,123754277.2
75.1,123075279.5
75.3,122400303.1
75.5,121729517.5
75.7,121058248.5
75.9,120385940.8
76.1,119714311.6
76.3,119042792.2
76.5,118375542
76.7,117713170.2
76.9,117049611.5
77.1,116385076.5
77.3,115721208.2
77.5,115058274.2
77.7,114399835
77.9,113745716.9
78.1,113090032
78.3,112434146.7
78.5,111778826.5
78.7,111124129.1
78.9,110474070.2
79.1,109828006.1
79.3,109180156.1
79.5,108532544.5
79.7,107885395.9
79.9,107239423.6
80.1,106598667.1
80.3,105961969.3
80.5,105323378.6
80.7,104685513.3
80.9,104048202.4
81.1,103412071.4
81.3,102780355.4
81.5,102151492.2
81.7,101521538.7
81.9,100892551.8
82.1,100264006.7
82.3,99636883.45
82.5,99013983.98
82.7,98393633.56
82.9,97772789.9
83.1,97152905.52
83.3,96533417.64
83.5,95915399.79
83.7,95301186.6
83.9,94689133.64
84.1,94076987.63
84.3,93465901.18
84.5,92855096.43
84.7,92246016.16
84.9,91640472
85.1,91036452.66
85.3,90432795.16
85.5,89830364.03
85.7,89228620.38
85.9,88628495.94
86.1,88031469.86
86.3,87435814.14
86.5,86841258.27
86.7,86248107.73
86.9,85655161.32
87.1,85063702.18
87.3,84474907.04
87.5,83887622.18
87.7,83301563.19
87.9,82716882.54
88.1,82132225.06
88.3,81549233.18
88.5,80968771.9
88.7,80389630.22
88.9,79811938.37
89.1,79235562.46
89.3,78659363.65
89.5,78084891.71
89.7,77512216.27
89.9,76940975.75
90.1,76371502.08
90.3,75803442.24
90.5,75235543.99
90.7,74669077.51
90.9,74104091.55
91.1,73540538.01
91.3,72978789.66
